method,interactions,video_id,n_gt,tp,fp,fn,share_gt,share_tp,f1,n_pred
weighted,on,V1,153,53,8,100,0.16156282998944033,0.10453648915187377,0.4953271028037383,61
weighted,on,V2,9,4,2,5,0.009503695881731784,0.007889546351084813,0.5333333333333333,6
weighted,on,V3,42,14,11,28,0.044350580781414996,0.027613412228796843,0.417910447761194,25
weighted,on,V4,12,5,4,7,0.012671594508975714,0.009861932938856016,0.4761904761904762,9
weighted,on,V5,28,12,0,16,0.029567053854276663,0.023668639053254437,0.6,12
weighted,on,V6,685,405,531,280,0.723336853220697,0.7988165680473372,0.499691548426897,936
weighted,on,V7,5,4,2,1,0.005279831045406547,0.007889546351084813,0.7272727272727272,6
weighted,on,V8,7,6,0,1,0.007391763463569166,0.011834319526627219,0.923076923076923,6
weighted,on,V9,4,2,2,2,0.004223864836325237,0.0039447731755424065,0.5,4
weighted,on,V10,2,2,4,0,0.0021119324181626186,0.0039447731755424065,0.5,6
