video_id,interactions,rule_name,fire_count
V1,off,__frames_with_any_firing__,0
V2,off,__frames_with_any_firing__,0
V3,off,__frames_with_any_firing__,0
V4,off,__frames_with_any_firing__,0
V5,off,__frames_with_any_firing__,0
V6,off,__frames_with_any_firing__,0
V7,off,__frames_with_any_firing__,0
V8,off,__frames_with_any_firing__,0
V9,off,__frames_with_any_firing__,0
V10,off,__frames_with_any_firing__,0
V1,on,low_guard_instability_medium_tendency,431
V1,on,facing_away_instability_elevated,1840
V1,on,low_guard_inbound_strike_review,278
V1,on,limb_anomaly_instability_high_review,457
V1,on,__frames_with_any_firing__,1860
V2,on,low_guard_instability_medium_tendency,133
V2,on,facing_away_instability_elevated,214
V2,on,low_guard_inbound_strike_review,65
V2,on,limb_anomaly_instability_high_review,48
V2,on,__frames_with_any_firing__,224
V3,on,low_guard_instability_medium_tendency,459
V3,on,facing_away_instability_elevated,710
V3,on,low_guard_inbound_strike_review,154
V3,on,limb_anomaly_instability_high_review,212
V3,on,__frames_with_any_firing__,769
V4,on,low_guard_instability_medium_tendency,249
V4,on,facing_away_instability_elevated,537
V4,on,low_guard_inbound_strike_review,166
V4,on,limb_anomaly_instability_high_review,279
V4,on,__frames_with_any_firing__,540
V5,on,low_guard_instability_medium_tendency,88
V5,on,facing_away_instability_elevated,353
V5,on,low_guard_inbound_strike_review,76
V5,on,limb_anomaly_instability_high_review,443
V5,on,__frames_with_any_firing__,556
V6,on,low_guard_instability_medium_tendency,4594
V6,on,low_guard_inbound_strike_review,7989
V6,on,limb_anomaly_instability_high_review,13378
V6,on,__frames_with_any_firing__,18664
V7,on,low_guard_instability_medium_tendency,61
V7,on,facing_away_instability_elevated,164
V7,on,low_guard_inbound_strike_review,49
V7,on,limb_anomaly_instability_high_review,113
V7,on,__frames_with_any_firing__,187
V8,on,low_guard_instability_medium_tendency,50
V8,on,facing_away_instability_elevated,157
V8,on,low_guard_inbound_strike_review,42
V8,on,limb_anomaly_instability_high_review,128
V8,on,__frames_with_any_firing__,187
V9,on,low_guard_instability_medium_tendency,38
V9,on,facing_away_instability_elevated,60
V9,on,low_guard_inbound_strike_review,33
V9,on,limb_anomaly_instability_high_review,46
V9,on,__frames_with_any_firing__,101
V10,on,low_guard_instability_medium_tendency,60
V10,on,facing_away_instability_elevated,70
V10,on,low_guard_inbound_strike_review,29
V10,on,limb_anomaly_instability_high_review,76
V10,on,__frames_with_any_firing__,136
