video_id,n_rows,n_positive_frames,pos_frac,sha256,channels,missing_counts_json
V1,1866,1589,0.8515541264737406,263def6b58a1cca5012b377824ed1f10da5313682e794af4b4023ff7f37031bb,"fast_downward_motion,large_torso_angle,prolonged_low_posture,high_instability,post_fall_low_movement,low_guard,facing_away,reaction_delay_after_impact,loss_of_control,clear_danger_fall,intervention_urgent,high_risk_guard_strike,limb_anomaly","{""fast_downward_motion"": 0, ""large_torso_angle"": 0, ""prolonged_low_posture"": 0, ""high_instability"": 0, ""post_fall_low_movement"": 0, ""low_guard"": 0, ""facing_away"": 0, ""reaction_delay_after_impact"": 0, ""loss_of_control"": 0, ""clear_danger_fall"": 0, ""intervention_urgent"": 0, ""high_risk_guard_strike"": 0, ""limb_anomaly"": 0}"
V2,232,130,0.5603448275862069,9397efdc4eaefd5d48804a84a608c0af22951f75c4f435b1f390d52838a720a0,"fast_downward_motion,large_torso_angle,prolonged_low_posture,high_instability,post_fall_low_movement,low_guard,facing_away,reaction_delay_after_impact,loss_of_control,clear_danger_fall,intervention_urgent,high_risk_guard_strike,limb_anomaly","{""fast_downward_motion"": 0, ""large_torso_angle"": 0, ""prolonged_low_posture"": 0, ""high_instability"": 0, ""post_fall_low_movement"": 0, ""low_guard"": 0, ""facing_away"": 0, ""reaction_delay_after_impact"": 0, ""loss_of_control"": 0, ""clear_danger_fall"": 0, ""intervention_urgent"": 0, ""high_risk_guard_strike"": 0, ""limb_anomaly"": 0}"
V3,813,358,0.4403444034440344,cc8ef2a7532d94eeb7b37e057858c9de26e71dd0818b753786f2eb4ddee1e00a,"fast_downward_motion,large_torso_angle,prolonged_low_posture,high_instability,post_fall_low_movement,low_guard,facing_away,reaction_delay_after_impact,loss_of_control,clear_danger_fall,intervention_urgent,high_risk_guard_strike,limb_anomaly","{""fast_downward_motion"": 0, ""large_torso_angle"": 0, ""prolonged_low_posture"": 0, ""high_instability"": 0, ""post_fall_low_movement"": 0, ""low_guard"": 0, ""facing_away"": 0, ""reaction_delay_after_impact"": 0, ""loss_of_control"": 0, ""clear_danger_fall"": 0, ""intervention_urgent"": 0, ""high_risk_guard_strike"": 0, ""limb_anomaly"": 0}"
V4,560,120,0.21428571428571427,cf9a82529a2ac9e41fbf567a06e1de4bd633220a3f88017f151fb8ab0f3cc096,"fast_downward_motion,large_torso_angle,prolonged_low_posture,high_instability,post_fall_low_movement,low_guard,facing_away,reaction_delay_after_impact,loss_of_control,clear_danger_fall,intervention_urgent,high_risk_guard_strike,limb_anomaly","{""fast_downward_motion"": 0, ""large_torso_angle"": 0, ""prolonged_low_posture"": 0, ""high_instability"": 0, ""post_fall_low_movement"": 0, ""low_guard"": 0, ""facing_away"": 0, ""reaction_delay_after_impact"": 0, ""loss_of_control"": 0, ""clear_danger_fall"": 0, ""intervention_urgent"": 0, ""high_risk_guard_strike"": 0, ""limb_anomaly"": 0}"
V5,596,253,0.42449664429530204,871b833775e61c0f618b297804185dd8ed8cd1f079ce5a47a134afe4d78332f6,"fast_downward_motion,large_torso_angle,prolonged_low_posture,high_instability,post_fall_low_movement,low_guard,facing_away,reaction_delay_after_impact,loss_of_control,clear_danger_fall,intervention_urgent,high_risk_guard_strike,limb_anomaly","{""fast_downward_motion"": 0, ""large_torso_angle"": 0, ""prolonged_low_posture"": 0, ""high_instability"": 0, ""post_fall_low_movement"": 0, ""low_guard"": 0, ""facing_away"": 0, ""reaction_delay_after_impact"": 0, ""loss_of_control"": 0, ""clear_danger_fall"": 0, ""intervention_urgent"": 0, ""high_risk_guard_strike"": 0, ""limb_anomaly"": 0}"
V6,46497,10682,0.22973525173667117,c65075572f595b209c7f3d14c2fae1955b3eae3a601e444c751be9d7636dfe70,"fast_downward_motion,large_torso_angle,prolonged_low_posture,high_instability,post_fall_low_movement,low_guard,facing_away,reaction_delay_after_impact,loss_of_control,clear_danger_fall,intervention_urgent,high_risk_guard_strike,limb_anomaly","{""fast_downward_motion"": 0, ""large_torso_angle"": 0, ""prolonged_low_posture"": 0, ""high_instability"": 0, ""post_fall_low_movement"": 0, ""low_guard"": 0, ""facing_away"": 0, ""reaction_delay_after_impact"": 0, ""loss_of_control"": 0, ""clear_danger_fall"": 0, ""intervention_urgent"": 0, ""high_risk_guard_strike"": 0, ""limb_anomaly"": 0}"
V7,195,109,0.558974358974359,b12c4b39db976e3c8fb34df54241dfa7baaad09688e6ad5247f4937ca8841dbc,"fast_downward_motion,large_torso_angle,prolonged_low_posture,high_instability,post_fall_low_movement,low_guard,facing_away,reaction_delay_after_impact,loss_of_control,clear_danger_fall,intervention_urgent,high_risk_guard_strike,limb_anomaly","{""fast_downward_motion"": 0, ""large_torso_angle"": 0, ""prolonged_low_posture"": 0, ""high_instability"": 0, ""post_fall_low_movement"": 0, ""low_guard"": 0, ""facing_away"": 0, ""reaction_delay_after_impact"": 0, ""loss_of_control"": 0, ""clear_danger_fall"": 0, ""intervention_urgent"": 0, ""high_risk_guard_strike"": 0, ""limb_anomaly"": 0}"
V8,199,73,0.36683417085427134,3b62142b80a3392dd49abd9b30831cf7d3b062063971def9674278ec10c0cbd3,"fast_downward_motion,large_torso_angle,prolonged_low_posture,high_instability,post_fall_low_movement,low_guard,facing_away,reaction_delay_after_impact,loss_of_control,clear_danger_fall,intervention_urgent,high_risk_guard_strike,limb_anomaly","{""fast_downward_motion"": 0, ""large_torso_angle"": 0, ""prolonged_low_posture"": 0, ""high_instability"": 0, ""post_fall_low_movement"": 0, ""low_guard"": 0, ""facing_away"": 0, ""reaction_delay_after_impact"": 0, ""loss_of_control"": 0, ""clear_danger_fall"": 0, ""intervention_urgent"": 0, ""high_risk_guard_strike"": 0, ""limb_anomaly"": 0}"
V9,149,44,0.2953020134228188,1e41ca6f444ca87eec26e4b504ab6ae8e846dc1582ed7716eb3ed272d46f8be1,"fast_downward_motion,large_torso_angle,prolonged_low_posture,high_instability,post_fall_low_movement,low_guard,facing_away,reaction_delay_after_impact,loss_of_control,clear_danger_fall,intervention_urgent,high_risk_guard_strike,limb_anomaly","{""fast_downward_motion"": 0, ""large_torso_angle"": 0, ""prolonged_low_posture"": 0, ""high_instability"": 0, ""post_fall_low_movement"": 0, ""low_guard"": 0, ""facing_away"": 0, ""reaction_delay_after_impact"": 0, ""loss_of_control"": 0, ""clear_danger_fall"": 0, ""intervention_urgent"": 0, ""high_risk_guard_strike"": 0, ""limb_anomaly"": 0}"
V10,151,30,0.1986754966887417,6338cb6f5d6de0ec91a907a9131399eed96656dcc5a78f193ad48d7055ed92ad,"fast_downward_motion,large_torso_angle,prolonged_low_posture,high_instability,post_fall_low_movement,low_guard,facing_away,reaction_delay_after_impact,loss_of_control,clear_danger_fall,intervention_urgent,high_risk_guard_strike,limb_anomaly","{""fast_downward_motion"": 0, ""large_torso_angle"": 0, ""prolonged_low_posture"": 0, ""high_instability"": 0, ""post_fall_low_movement"": 0, ""low_guard"": 0, ""facing_away"": 0, ""reaction_delay_after_impact"": 0, ""loss_of_control"": 0, ""clear_danger_fall"": 0, ""intervention_urgent"": 0, ""high_risk_guard_strike"": 0, ""limb_anomaly"": 0}"
