experiment,method,interactions,video_id,precision,recall,f1,tp,fp,fn,n_pred_events,n_risk_events,mean_onset_s,mean_abs_onset_s,n_interaction_firings,frames_with_firing,mean_score,pct_high_critical
aggregation,equal,on,V1,0.8983050847457628,0.3464052287581699,0.5,53,6,100,59,148,-0.11383647798742155,0.25597484276729565,0,0,0.3760979465586598,9.860664523043944
aggregation,equal,on,V2,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,6,31,-0.058333333333333424,0.5583333333333331,0,0,0.4086956053434598,17.67241379310345
aggregation,equal,on,V3,0.56,0.3333333333333333,0.41791044776119407,14,11,28,25,77,-0.1476190476190474,0.24761904761904735,0,0,0.3914508733528307,13.284132841328415
aggregation,equal,on,V4,0.5,0.3333333333333333,0.4,4,4,8,8,71,-0.25833333333333325,0.2916666666666666,0,0,0.42516828591252837,27.67857142857143
aggregation,equal,on,V5,1.0,0.42857142857142855,0.6,12,0,16,12,55,-0.31388888888888844,0.35277777777777747,0,0,0.3309428080672236,11.241610738255034
aggregation,equal,on,V6,0.43160127253446445,0.5941605839416059,0.5,407,536,278,943,919,0.027518427518428822,0.3952497952497966,0,0,0.18485769917732126,4.271243306019743
aggregation,equal,on,V7,0.6666666666666666,0.8,0.7272727272727272,4,2,1,6,17,0.18333333333333335,0.2500000000000002,0,0,0.38273914722890934,12.82051282051282
aggregation,equal,on,V8,1.0,0.8571428571428571,0.923076923076923,6,0,1,6,24,-0.016666666666666708,0.3166666666666666,0,0,0.3854553518540468,17.08542713567839
aggregation,equal,on,V9,0.5,0.5,0.5,2,2,2,4,10,0.1666666666666668,0.1666666666666668,0,0,0.27753482965606474,7.38255033557047
aggregation,equal,on,V10,0.2857142857142857,1.0,0.4444444444444445,2,5,0,7,8,0.03333333333333341,0.19999999999999993,0,0,0.3213084355790598,7.28476821192053
aggregation,weighted,on,V1,0.8688524590163934,0.3464052287581699,0.4953271028037383,53,8,100,61,137,-0.0742138364779876,0.2566037735849057,3006,1860,0.37556931929077186,9.163987138263666
aggregation,weighted,on,V2,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,6,30,-0.058333333333333424,0.5583333333333331,460,224,0.4053830412554639,17.24137931034483
aggregation,weighted,on,V3,0.56,0.3333333333333333,0.41791044776119407,14,11,28,25,77,-0.1476190476190474,0.24761904761904735,1535,769,0.3889097530867469,13.038130381303814
aggregation,weighted,on,V4,0.5555555555555556,0.4166666666666667,0.4761904761904762,5,4,7,9,66,-0.6466666666666668,0.6733333333333335,1231,540,0.4230490189807877,25.535714285714285
aggregation,weighted,on,V5,1.0,0.42857142857142855,0.6,12,0,16,12,55,-0.31388888888888844,0.35277777777777747,960,556,0.3314246889202723,11.073825503355705
aggregation,weighted,on,V6,0.4326923076923077,0.5912408759124088,0.499691548426897,405,531,280,936,883,0.02880658436214046,0.3978600823045278,25961,18664,0.18390918611742182,4.099189195001828
aggregation,weighted,on,V7,0.6666666666666666,0.8,0.7272727272727272,4,2,1,6,17,0.18333333333333335,0.2500000000000002,387,187,0.3831378821286739,12.307692307692308
aggregation,weighted,on,V8,1.0,0.8571428571428571,0.923076923076923,6,0,1,6,24,-0.016666666666666708,0.3166666666666666,377,187,0.3863786818597574,17.08542713567839
aggregation,weighted,on,V9,0.5,0.5,0.5,2,2,2,4,10,0.1666666666666668,0.1666666666666668,177,101,0.2772072240340499,7.38255033557047
aggregation,weighted,on,V10,0.3333333333333333,1.0,0.5,2,4,0,6,7,0.03333333333333341,0.19999999999999993,235,136,0.3198128406497743,6.622516556291391
aggregation,max,on,V1,1.0,0.006535947712418301,0.012987012987012988,1,0,152,1,1,-59.333333333333336,59.333333333333336,0,0,1.0,100.0
aggregation,max,on,V2,1.0,0.1111111111111111,0.19999999999999998,1,0,8,1,1,-3.2333333333333334,3.2333333333333334,0,0,1.0,100.0
aggregation,max,on,V3,1.0,0.023809523809523808,0.046511627906976744,1,0,41,1,1,-0.43333333333333335,0.43333333333333335,0,0,0.9983387703682229,99.7539975399754
aggregation,max,on,V4,1.0,0.08333333333333333,0.15384615384615385,1,0,11,1,1,-3.1666666666666665,3.1666666666666665,0,0,1.0,100.0
aggregation,max,on,V5,1.0,0.03571428571428571,0.0689655172413793,1,0,27,1,1,-7.633333333333334,7.633333333333334,0,0,0.9979126555596624,99.83221476510067
aggregation,max,on,V6,0.7610619469026548,0.12554744525547445,0.21553884711779447,86,27,599,113,1602,-5.4705426356589095,5.552713178294572,0,0,0.866963650947887,83.52581887003463
aggregation,max,on,V7,1.0,0.2,0.33333333333333337,1,0,4,1,1,-4.833333333333333,4.833333333333333,0,0,0.9981927799105053,100.0
aggregation,max,on,V8,1.0,0.14285714285714285,0.25,1,0,6,1,1,-5.4,5.4,0,0,0.9967725555938375,99.49748743718592
aggregation,max,on,V9,1.0,0.25,0.4,1,0,3,1,1,-0.4666666666666667,0.4666666666666667,0,0,0.9896145128108719,99.32885906040269
aggregation,max,on,V10,1.0,0.5,0.6666666666666666,1,0,1,1,1,-2.1666666666666665,2.1666666666666665,0,0,1.0,100.0
interactions,weighted,off,V1,1.0,0.2549019607843137,0.40625,39,0,114,39,0,0.017094017094016922,0.19316239316239342,0,0,0.26266471050191864,0.0
interactions,weighted,off,V2,1.0,0.4444444444444444,0.6153846153846153,4,0,5,4,0,0.058333333333333216,0.1416666666666667,0,0,0.2702537309106363,0.0
interactions,weighted,off,V3,0.4,0.047619047619047616,0.0851063829787234,2,3,40,5,0,-0.016666666666663943,0.21666666666666679,0,0,0.2597830618198342,0.0
interactions,weighted,off,V4,0.46153846153846156,0.5,0.48000000000000004,6,7,6,13,0,-0.055555555555556045,0.23333333333333361,0,0,0.2686383046950735,0.0
interactions,weighted,off,V5,0.9,0.32142857142857145,0.4736842105263158,9,1,19,10,0,-0.14814814814814822,0.392592592592593,0,0,0.21271663522899714,0.0
interactions,weighted,off,V6,0.49251497005988026,0.4802919708029197,0.48632668144863267,329,339,356,668,46,0.01499493414387167,0.4265450861195551,0,0,0.1429364351872543,0.1204378777125406
interactions,weighted,off,V7,0.5,0.4,0.4444444444444445,2,2,3,4,0,0.1166666666666667,0.25000000000000044,0,0,0.24154813853893028,0.0
interactions,weighted,off,V8,0.75,0.42857142857142855,0.5454545454545454,3,1,4,4,0,0.12222222222222223,0.23333333333333325,0,0,0.24984601854317437,0.0
interactions,weighted,off,V9,0.5,0.25,0.3333333333333333,1,1,3,2,0,0.4,0.4,0,0,0.1935159488662647,0.0
interactions,weighted,off,V10,0.4,1.0,0.5714285714285715,2,3,0,5,0,0.03333333333333341,0.19999999999999993,0,0,0.2098128406497742,0.0
interactions,weighted,on,V1,0.8688524590163934,0.3464052287581699,0.4953271028037383,53,8,100,61,137,-0.0742138364779876,0.2566037735849057,3006,1860,0.37556931929077186,9.163987138263666
interactions,weighted,on,V2,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,6,30,-0.058333333333333424,0.5583333333333331,460,224,0.4053830412554639,17.24137931034483
interactions,weighted,on,V3,0.56,0.3333333333333333,0.41791044776119407,14,11,28,25,77,-0.1476190476190474,0.24761904761904735,1535,769,0.3889097530867469,13.038130381303814
interactions,weighted,on,V4,0.5555555555555556,0.4166666666666667,0.4761904761904762,5,4,7,9,66,-0.6466666666666668,0.6733333333333335,1231,540,0.4230490189807877,25.535714285714285
interactions,weighted,on,V5,1.0,0.42857142857142855,0.6,12,0,16,12,55,-0.31388888888888844,0.35277777777777747,960,556,0.3314246889202723,11.073825503355705
interactions,weighted,on,V6,0.4326923076923077,0.5912408759124088,0.499691548426897,405,531,280,936,883,0.02880658436214046,0.3978600823045278,25961,18664,0.18390918611742182,4.099189195001828
interactions,weighted,on,V7,0.6666666666666666,0.8,0.7272727272727272,4,2,1,6,17,0.18333333333333335,0.2500000000000002,387,187,0.3831378821286739,12.307692307692308
interactions,weighted,on,V8,1.0,0.8571428571428571,0.923076923076923,6,0,1,6,24,-0.016666666666666708,0.3166666666666666,377,187,0.3863786818597574,17.08542713567839
interactions,weighted,on,V9,0.5,0.5,0.5,2,2,2,4,10,0.1666666666666668,0.1666666666666668,177,101,0.2772072240340499,7.38255033557047
interactions,weighted,on,V10,0.3333333333333333,1.0,0.5,2,4,0,6,7,0.03333333333333341,0.19999999999999993,235,136,0.3198128406497743,6.622516556291391
