video_id,TP,FP,FN,precision,recall,F1,mean_latency,status
V1,36,1,117,0.972973,0.235294,0.378947,0.090741,OK
V2,6,0,3,1,0.666667,0.8,0.122222,OK
V3,2,10,40,0.166667,0.047619,0.074074,0,OK
V4,6,13,6,0.315789,0.5,0.387097,-0,OK
V5,25,36,3,0.409836,0.892857,0.561798,0.137333,OK
V6,578,2144,107,0.212344,0.843796,0.339301,0.160265,OK
V7,3,14,2,0.176471,0.6,0.272727,0.222222,OK
V8,6,15,1,0.285714,0.857143,0.428571,0.144444,OK
V9,1,6,3,0.142857,0.25,0.181818,0.4,OK
V10,2,4,0,0.333333,1,0.5,0.383333,OK
__micro__,665,2243,282,0.22868,0.702218,0.345006,,OK
__macro__,,,,0.401598,0.589338,0.392433,0.166056,OK
