video_id,timeline,iou,tol,tp,fp,fn,f1,precision,recall,n_pred,n_gt
V1,events,0.01,0.5,53,8,100,0.4953271028037383,0.8688524590163934,0.3464052287581699,61,153
V2,events,0.01,0.5,4,2,5,0.5333333333333333,0.6666666666666666,0.4444444444444444,6,9
V3,events,0.01,0.5,14,11,28,0.41791044776119407,0.56,0.3333333333333333,25,42
V4,events,0.01,0.5,5,4,7,0.4761904761904762,0.5555555555555556,0.4166666666666667,9,12
V5,events,0.01,0.5,12,0,16,0.6,1.0,0.42857142857142855,12,28
V6,events,0.01,0.5,405,531,280,0.499691548426897,0.4326923076923077,0.5912408759124088,936,685
V7,events,0.01,0.5,4,2,1,0.7272727272727272,0.6666666666666666,0.8,6,5
V8,events,0.01,0.5,6,0,1,0.923076923076923,1.0,0.8571428571428571,6,7
V9,events,0.01,0.5,2,2,2,0.5,0.5,0.5,4,4
V10,events,0.01,0.5,2,4,0,0.5,0.3333333333333333,1.0,6,2
V1,events_risk_only,0.01,0.5,93,44,60,0.6413793103448274,0.6788321167883211,0.6078431372549019,137,153
V2,events_risk_only,0.01,0.5,9,21,0,0.4615384615384615,0.3,1.0,30,9
V3,events_risk_only,0.01,0.5,27,50,15,0.453781512605042,0.35064935064935066,0.6428571428571429,77,42
V4,events_risk_only,0.01,0.5,11,55,1,0.28205128205128205,0.16666666666666666,0.9166666666666666,66,12
V5,events_risk_only,0.01,0.5,25,30,3,0.6024096385542169,0.45454545454545453,0.8928571428571429,55,28
V6,events_risk_only,0.01,0.5,280,603,405,0.35714285714285715,0.3171007927519819,0.40875912408759124,883,685
V7,events_risk_only,0.01,0.5,5,12,0,0.45454545454545453,0.29411764705882354,1.0,17,5
V8,events_risk_only,0.01,0.5,7,17,0,0.45161290322580644,0.2916666666666667,1.0,24,7
V9,events_risk_only,0.01,0.5,3,7,1,0.4285714285714285,0.3,0.75,10,4
V10,events_risk_only,0.01,0.5,2,5,0,0.4444444444444445,0.2857142857142857,1.0,7,2
V1,strike_events,0.01,0.5,39,0,114,0.40625,1.0,0.2549019607843137,39,153
V2,strike_events,0.01,0.5,4,0,5,0.6153846153846153,1.0,0.4444444444444444,4,9
V3,strike_events,0.01,0.5,2,3,40,0.0851063829787234,0.4,0.047619047619047616,5,42
V4,strike_events,0.01,0.5,6,7,6,0.48000000000000004,0.46153846153846156,0.5,13,12
V5,strike_events,0.01,0.5,9,1,19,0.4736842105263158,0.9,0.32142857142857145,10,28
V6,strike_events,0.01,0.5,325,327,360,0.48616305160807777,0.49846625766871167,0.4744525547445255,652,685
V7,strike_events,0.01,0.5,2,2,3,0.4444444444444445,0.5,0.4,4,5
V8,strike_events,0.01,0.5,3,1,4,0.5454545454545454,0.75,0.42857142857142855,4,7
V9,strike_events,0.01,0.5,1,1,3,0.3333333333333333,0.5,0.25,2,4
V10,strike_events,0.01,0.5,2,3,0,0.5714285714285715,0.4,1.0,5,2
