method,failure_type,count
equal_intON,delayed_onset,155
equal_intON,early_onset,129
equal_intON,false_negative,439
equal_intON,false_positive,568
equal_intON,fragmented_detection,36
equal_intON,merged_distinct_events,142
equal_intON,short_event_suppression,239
max_intON,delayed_onset,5
max_intON,early_onset,73
max_intON,false_negative,852
max_intON,false_positive,27
max_intON,fragmented_detection,15
max_intON,merged_distinct_events,85
max_intON,short_event_suppression,403
weighted_intOFF,delayed_onset,131
weighted_intOFF,early_onset,113
weighted_intOFF,false_negative,550
weighted_intOFF,false_positive,357
weighted_intOFF,fragmented_detection,14
weighted_intOFF,merged_distinct_events,95
weighted_intOFF,short_event_suppression,289
weighted_intON,delayed_onset,158
weighted_intON,early_onset,129
weighted_intON,false_negative,440
weighted_intON,false_positive,564
weighted_intON,fragmented_detection,35
weighted_intON,merged_distinct_events,141
weighted_intON,short_event_suppression,238
