frame_id,timestamp,risk_score,risk_level
0,0.0,0.29282576866764276,MEDIUM
1,0.1,0.553872957051659,HIGH
2,0.2,0.6248949554295404,HIGH
3,0.3,0.2944793670158556,MEDIUM
4,0.4,0.11037489911016612,LOW
5,0.5,0.1331863965153368,LOW
6,0.6,0.27856751161096455,MEDIUM
7,0.7,0.21022755380264002,LOW
8,0.8,0.29282576866764276,MEDIUM
9,0.9,0.6161623560273307,HIGH
10,1.0,0.23503489972212752,LOW
11,1.1,0.0406581202250489,LOW
12,1.2,0.21555977250514904,LOW
13,1.3,0.28906822011878586,MEDIUM
14,1.4,0.40093183878801203,MEDIUM
15,1.5,0.24087086117147405,LOW
16,1.6,0.04461021618513958,LOW
17,1.7,0.08699113665338733,LOW
18,1.8,0.09526831953443261,LOW
19,1.9,0.0841088938134191,LOW
20,2.0,0.04081068248845454,LOW
21,2.1,0.16012620267723254,LOW
22,2.2,0.29282576866764276,MEDIUM
23,2.3,0.013242839054708638,LOW
24,2.4,0.03737168520026738,LOW
25,2.5,0.29282576866764276,MEDIUM
26,2.6,0.29282576866764276,MEDIUM
27,2.7,0.29282576866764276,MEDIUM
28,2.8,0.29282576866764276,MEDIUM
29,2.9,0.29282576866764276,MEDIUM
30,3.0,0.29282576866764276,MEDIUM
31,3.1,0.6295754026354319,HIGH
32,3.2,0.5244573866752484,HIGH
33,3.3,0.07552679704549031,LOW
34,3.4,0.162191502303281,LOW
35,3.5,0.30174085928483546,MEDIUM
36,3.6,0.20889263681397122,LOW
37,3.7,0.06149914044683135,LOW
38,3.8,0.3483238886409037,MEDIUM
39,3.9,0.45475394714860723,MEDIUM
40,4.0,0.21304206796051847,LOW
41,4.1,0.15916353053332213,LOW
42,4.2,0.12882537196813773,LOW
43,4.3,0.24391782254734568,LOW
44,4.4,0.5913002089624826,HIGH
45,4.5,0.35655839637221454,MEDIUM
46,4.6,0.1553833184009404,LOW
47,4.7,0.017305137366337667,LOW
48,4.8,0.14855386543426038,LOW
49,4.9,0.06661407562562457,LOW
50,5.0,0.16294788979972338,LOW
51,5.1,0.06341467124251361,LOW
52,5.2,0.29282576866764276,MEDIUM
53,5.3,0.228603098974144,LOW
54,5.4,0.10305747974257,LOW
55,5.5,0.06385344747453714,LOW
56,5.6,0.16784521169831879,LOW
57,5.7,0.29282576866764276,MEDIUM
